gen,nevals,time,min,avg
0,250,0.1494,24612.0,25641.692
1,217,2.6498,24589.0,25419.036
2,208,4.9783,24269.0,25288.064
3,210,7.4423,24207.0,25122.232
4,206,9.9044,24207.0,25039.6
5,207,12.3545,24092.0,24902.48
6,221,14.9932,23828.0,24820.72
7,215,17.8108,23828.0,24743.404
8,202,20.3414,23828.0,24601.756
9,215,23.1534,23697.0,24542.028
10,214,25.8005,23674.0,24429.016
11,210,28.4388,23616.0,24329.852
12,210,30.9655,23591.0,24194.632
13,216,33.5042,23468.0,24124.06
14,215,36.098,23423.0,24018.78
15,204,38.5402,23052.0,23890.5
16,212,41.0825,23052.0,23751.48
17,211,43.588,23052.0,23640.412
18,212,46.1045,23010.0,23555.648
19,220,48.7148,22862.0,23470.096
20,209,51.2276,22683.0,23343.328
21,212,53.8051,22554.0,23273.272
22,214,56.4892,22348.0,23186.876
23,211,59.1936,22348.0,23111.372
24,207,61.7993,22331.0,22998.764
25,214,64.4442,22329.0,22917.452
26,215,67.0622,22281.0,22809.968
27,214,69.6597,21920.0,22700.156
28,217,72.3745,21920.0,22607.272
29,215,75.0582,21742.0,22519.696
30,210,77.6383,21742.0,22433.228
31,211,80.1772,21598.0,22338.136
32,223,82.8622,21595.0,22234.66
33,212,85.5866,21557.0,22146.972
34,216,88.2585,21309.0,22047.384
35,207,90.8253,21309.0,21974.664
36,211,93.4537,21218.0,21882.992
37,218,96.0607,21199.0,21812.66
38,218,98.6163,21199.0,21748.064
39,212,101.2621,21154.0,21671.608
40,217,104.1439,21052.0,21575.368
41,211,106.8019,21016.0,21524.72
42,214,109.5427,21012.0,21462.712
43,211,112.1471,20832.0,21372.94
44,208,114.8729,20765.0,21291.696
45,216,117.4859,20740.0,21234.424
46,214,120.0713,20598.0,21165.844
47,212,122.6767,20598.0,21103.652
48,208,125.1488,20530.0,21021.752
49,214,127.6661,20469.0,20958.484
50,210,130.2307,20377.0,20900.24
51,213,133.057,20188.0,20826.628
52,212,135.7535,20188.0,20755.852
53,214,138.337,20188.0,20690.4
54,213,140.8196,20093.0,20620.076
55,214,143.3366,20001.0,20580.312
56,212,145.9508,19818.0,20518.224
57,204,148.461,19818.0,20427.948
58,215,151.0724,19755.0,20328.996
59,220,153.7573,19755.0,20266.012
60,214,156.3624,19703.0,20164.856
61,221,158.99,19693.0,20112.148
62,204,161.4508,19579.0,20058.044
63,207,164.0092,19513.0,19980.224
64,214,166.5387,19387.0,19905.936
65,208,168.9988,19355.0,19836.444
66,217,171.6461,19322.0,19770.148
67,214,174.2125,19206.0,19674.536
68,211,176.8402,19151.0,19603.076
69,223,179.5604,19151.0,19552.948
70,213,182.2342,19151.0,19506.82
71,218,184.8863,19008.0,19436.616
72,217,187.6146,18970.0,19383.704
73,219,190.2821,18925.0,19314.072
74,213,193.0539,18886.0,19260.768
75,217,195.8567,18768.0,19213.032
76,208,198.5148,18768.0,19163.432
77,208,201.1474,18570.0,19102.448
78,216,203.875,18570.0,19034.632
79,216,206.6255,18549.0,18988.66
80,212,209.4772,18527.0,18918.772
81,213,212.259,18428.0,18869.804
82,215,215.0554,18428.0,18819.384
83,214,217.8743,18184.0,18752.868
84,214,220.6226,18184.0,18689.544
85,214,223.2872,18182.0,18602.756
86,210,225.8664,18182.0,18531.06
87,213,228.3612,18070.0,18462.772
88,214,231.0465,18070.0,18409.548
89,218,233.7442,18004.0,18344.592
90,214,236.4449,17885.0,18283.424
91,205,239.1276,17821.0,18217.82
92,216,241.8421,17821.0,18156.284
93,213,244.4875,17763.0,18101.864
94,209,247.2103,17729.0,18031.412
95,215,249.9826,17589.0,17990.0
96,208,252.6621,17589.0,17937.888
97,208,255.2702,17491.0,17881.6
98,217,258.1016,17418.0,17845.124
99,210,260.6787,17418.0,17786.392
100,215,263.3142,17343.0,17736.108
101,211,266.0054,17343.0,17681.372
102,211,268.6966,17243.0,17624.788
103,211,271.3891,17162.0,17564.12
104,221,274.2953,17070.0,17513.2
105,217,277.1415,17070.0,17448.284
106,211,279.9332,17056.0,17379.9
107,216,282.6424,17026.0,17309.52
108,213,285.3493,16928.0,17244.744
109,215,288.056,16904.0,17193.78
110,217,290.7585,16856.0,17148.776
111,214,293.3589,16770.0,17094.536
112,207,296.03,16675.0,17048.172
113,215,298.7567,16675.0,17001.984
114,213,301.4476,16629.0,16951.448
115,212,304.0486,16629.0,16913.804
116,215,306.6732,16570.0,16875.992
117,210,309.1594,16570.0,16809.04
118,213,311.7135,16425.0,16781.884
119,214,314.2716,16425.0,16742.488
120,216,316.8976,16417.0,16696.116
121,214,319.5796,16350.0,16656.964
122,216,322.2175,16294.0,16608.088
123,216,324.8607,16278.0,16563.076
124,218,327.5568,16233.0,16517.288
125,217,330.1526,16171.0,16468.916
126,218,332.7653,16072.0,16425.524
127,214,335.3234,16072.0,16375.1
128,217,337.9053,16000.0,16332.792
129,215,340.4612,15989.0,16288.16
130,219,343.078,15967.0,16245.928
131,208,345.513,15924.0,16199.712
132,214,348.2001,15850.0,16154.196
