{'gen': 0, 'nevals': 800, 'min': 24371.640510366826, 'avg': 28475.063419298247}
{'gen': 1, 'nevals': 692, 'min': 24371.640510366826, 'avg': 28031.81623058214}
{'gen': 2, 'nevals': 695, 'min': 24371.640510366826, 'avg': 27673.850204585324}
{'gen': 3, 'nevals': 714, 'min': 24113.35591706539, 'avg': 27438.475708851674}
{'gen': 4, 'nevals': 713, 'min': 24113.35591706539, 'avg': 27238.18352942584}
{'gen': 5, 'nevals': 710, 'min': 24113.35591706539, 'avg': 27003.570840749602}
{'gen': 6, 'nevals': 686, 'min': 23077.18759170654, 'avg': 26696.51762252791}
{'gen': 7, 'nevals': 698, 'min': 23043.09023923445, 'avg': 26553.189764792663}
{'gen': 8, 'nevals': 709, 'min': 23043.09023923445, 'avg': 26330.08492767145}
{'gen': 9, 'nevals': 701, 'min': 22125.50236044657, 'avg': 26197.307008213716}
{'gen': 10, 'nevals': 713, 'min': 22125.50236044657, 'avg': 26081.8408030303}
{'gen': 11, 'nevals': 674, 'min': 22125.50236044657, 'avg': 25998.66902009569}
{'gen': 12, 'nevals': 706, 'min': 22125.50236044657, 'avg': 25830.39626901914}
{'gen': 13, 'nevals': 721, 'min': 22125.50236044657, 'avg': 25721.262309409893}
{'gen': 14, 'nevals': 690, 'min': 21605.4492185008, 'avg': 25559.385173883573}
{'gen': 15, 'nevals': 708, 'min': 21605.4492185008, 'avg': 25441.056888078154}
{'gen': 16, 'nevals': 705, 'min': 21605.4492185008, 'avg': 25329.23547862839}
{'gen': 17, 'nevals': 718, 'min': 21605.4492185008, 'avg': 25249.321298923445}
{'gen': 18, 'nevals': 701, 'min': 21605.4492185008, 'avg': 25175.046594896336}
{'gen': 19, 'nevals': 681, 'min': 21605.4492185008, 'avg': 25074.95283010367}
{'gen': 20, 'nevals': 702, 'min': 21605.4492185008, 'avg': 24912.872107057414}
{'gen': 21, 'nevals': 716, 'min': 21387.85422647528, 'avg': 24714.93262795056}
{'gen': 22, 'nevals': 717, 'min': 21283.538341307816, 'avg': 24609.848043460926}
{'gen': 23, 'nevals': 700, 'min': 21283.538341307816, 'avg': 24465.72689039075}
{'gen': 24, 'nevals': 691, 'min': 21039.873779904305, 'avg': 24202.729165470497}
{'gen': 25, 'nevals': 704, 'min': 21039.873779904305, 'avg': 24083.75320877193}
{'gen': 26, 'nevals': 733, 'min': 21000.991993620413, 'avg': 24029.562056618815}
{'gen': 27, 'nevals': 688, 'min': 20649.378947368423, 'avg': 23896.431760486437}
{'gen': 28, 'nevals': 705, 'min': 20011.329059011165, 'avg': 23732.570731140346}
{'gen': 29, 'nevals': 720, 'min': 20011.329059011165, 'avg': 23553.150132216906}
{'gen': 30, 'nevals': 700, 'min': 19774.871100478467, 'avg': 23371.833914952156}
{'gen': 31, 'nevals': 691, 'min': 19774.871100478467, 'avg': 23201.571466228073}
{'gen': 32, 'nevals': 709, 'min': 19078.49990430622, 'avg': 23091.827091985648}
{'gen': 33, 'nevals': 719, 'min': 19078.49990430622, 'avg': 22970.897723724083}
{'gen': 34, 'nevals': 710, 'min': 19078.49990430622, 'avg': 22840.815332934606}
{'gen': 35, 'nevals': 685, 'min': 19078.49990430622, 'avg': 22719.58796323764}
{'gen': 36, 'nevals': 692, 'min': 19078.49990430622, 'avg': 22485.627310406697}
{'gen': 37, 'nevals': 708, 'min': 19078.49990430622, 'avg': 22305.62679358054}
{'gen': 38, 'nevals': 686, 'min': 19078.49990430622, 'avg': 22043.541583173843}
{'gen': 39, 'nevals': 718, 'min': 18982.979330143542, 'avg': 21896.416813955344}
{'gen': 40, 'nevals': 714, 'min': 18982.979330143542, 'avg': 21685.56021686603}
{'gen': 41, 'nevals': 696, 'min': 18820.744401913875, 'avg': 21482.267065988835}
{'gen': 42, 'nevals': 696, 'min': 18506.954545454544, 'avg': 21261.70214354067}
{'gen': 43, 'nevals': 703, 'min': 18472.38169059011, 'avg': 21129.88743090112}
{'gen': 44, 'nevals': 711, 'min': 18125.549537480063, 'avg': 20933.34782085327}
{'gen': 45, 'nevals': 719, 'min': 18125.549537480063, 'avg': 20731.94489102871}
{'gen': 46, 'nevals': 683, 'min': 18125.549537480063, 'avg': 20563.308745055823}
{'gen': 47, 'nevals': 711, 'min': 18034.073110047848, 'avg': 20443.760945414673}
{'gen': 48, 'nevals': 701, 'min': 18034.073110047848, 'avg': 20269.856771491224}
{'gen': 49, 'nevals': 702, 'min': 17996.706092503988, 'avg': 20158.026682535885}
{'gen': 50, 'nevals': 732, 'min': 17954.04519936204, 'avg': 20025.98538923445}
{'gen': 51, 'nevals': 694, 'min': 17410.95326953748, 'avg': 19842.002575398725}
{'gen': 52, 'nevals': 694, 'min': 17410.95326953748, 'avg': 19717.509043580543}
{'gen': 53, 'nevals': 697, 'min': 17410.95326953748, 'avg': 19565.06388732057}
{'gen': 54, 'nevals': 698, 'min': 17410.95326953748, 'avg': 19420.416339154704}
{'gen': 55, 'nevals': 713, 'min': 17096.711451355663, 'avg': 19311.90515195375}
{'gen': 56, 'nevals': 713, 'min': 16934.59601275917, 'avg': 19191.049391188197}
{'gen': 57, 'nevals': 691, 'min': 16934.59601275917, 'avg': 19064.1961511563}
{'gen': 58, 'nevals': 706, 'min': 16934.59601275917, 'avg': 18968.273056459333}
{'gen': 59, 'nevals': 692, 'min': 16877.23023923445, 'avg': 18821.89013827751}
{'gen': 60, 'nevals': 720, 'min': 16502.17240829346, 'avg': 18714.958656858056}
{'gen': 61, 'nevals': 710, 'min': 16451.729122807017, 'avg': 18535.826684529504}
{'gen': 62, 'nevals': 706, 'min': 16146.453301435407, 'avg': 18415.67297412281}
{'gen': 63, 'nevals': 710, 'min': 16146.453301435407, 'avg': 18289.96048939394}
{'gen': 64, 'nevals': 695, 'min': 15792.194960127592, 'avg': 18214.729917105265}
{'gen': 65, 'nevals': 712, 'min': 15792.194960127592, 'avg': 18079.844178588515}
{'gen': 66, 'nevals': 703, 'min': 15792.194960127592, 'avg': 17926.49247938597}
{'gen': 67, 'nevals': 704, 'min': 15792.194960127592, 'avg': 17768.21270426635}
{'gen': 68, 'nevals': 716, 'min': 15541.287464114832, 'avg': 17628.8355726874}
{'gen': 69, 'nevals': 703, 'min': 15276.28976076555, 'avg': 17490.183212280703}
{'gen': 70, 'nevals': 690, 'min': 15276.28976076555, 'avg': 17353.45842663477}
{'gen': 71, 'nevals': 690, 'min': 14983.170781499202, 'avg': 17212.401122208932}
{'gen': 72, 'nevals': 702, 'min': 14983.170781499202, 'avg': 17080.18991108453}
{'gen': 73, 'nevals': 693, 'min': 14983.170781499202, 'avg': 16955.59494665072}
{'gen': 74, 'nevals': 708, 'min': 14573.971228070175, 'avg': 16845.89855019936}
