{'gen': 0, 'nevals': 200, 'min': 17168.438532695374, 'avg': 28996.130616746414}
{'gen': 1, 'nevals': 157, 'min': 17168.438532695374, 'avg': 26849.31803157895}
{'gen': 2, 'nevals': 162, 'min': 16519.97467304625, 'avg': 24506.907259011165}
{'gen': 3, 'nevals': 161, 'min': 15987.027623604466, 'avg': 23166.52755725678}
{'gen': 4, 'nevals': 168, 'min': 15733.692057416269, 'avg': 22909.202633971294}
{'gen': 5, 'nevals': 158, 'min': 15733.692057416269, 'avg': 22106.796005741628}
{'gen': 6, 'nevals': 162, 'min': 14742.136746411483, 'avg': 20957.699488516748}
{'gen': 7, 'nevals': 162, 'min': 12313.77043062201, 'avg': 20471.187581339713}
{'gen': 8, 'nevals': 162, 'min': 12313.77043062201, 'avg': 19698.260359649124}
{'gen': 9, 'nevals': 174, 'min': 12313.77043062201, 'avg': 18536.558398405105}
{'gen': 10, 'nevals': 172, 'min': 12214.56312599681, 'avg': 18297.361972886763}
{'gen': 11, 'nevals': 162, 'min': 11668.198660287082, 'avg': 17306.03130877193}
{'gen': 12, 'nevals': 153, 'min': 11668.198660287082, 'avg': 16610.706081180222}
{'gen': 13, 'nevals': 164, 'min': 10674.473397129186, 'avg': 15848.73206060606}
{'gen': 14, 'nevals': 160, 'min': 10674.473397129186, 'avg': 15343.49720015949}
{'gen': 15, 'nevals': 164, 'min': 10445.148452950558, 'avg': 14594.570314194578}
{'gen': 16, 'nevals': 157, 'min': 10445.148452950558, 'avg': 14039.74223110048}
{'gen': 17, 'nevals': 170, 'min': 10445.148452950558, 'avg': 13865.855316905901}
{'gen': 18, 'nevals': 165, 'min': 10065.82028708134, 'avg': 13146.383229346095}
{'gen': 19, 'nevals': 163, 'min': 10065.82028708134, 'avg': 12498.031399202551}
{'gen': 20, 'nevals': 164, 'min': 10065.82028708134, 'avg': 12077.574974641147}
{'gen': 21, 'nevals': 160, 'min': 10065.82028708134, 'avg': 11728.785991547049}
{'gen': 22, 'nevals': 154, 'min': 10065.82028708134, 'avg': 11586.922718500799}
{'gen': 23, 'nevals': 163, 'min': 9585.618086124401, 'avg': 11360.255366666666}
{'gen': 24, 'nevals': 167, 'min': 9512.583732057416, 'avg': 11292.295867145136}
{'gen': 25, 'nevals': 170, 'min': 9131.855374800638, 'avg': 11116.421098245615}
{'gen': 26, 'nevals': 168, 'min': 9131.855374800638, 'avg': 10989.223980223285}
{'gen': 27, 'nevals': 160, 'min': 9131.855374800638, 'avg': 10642.40691818182}
{'gen': 28, 'nevals': 154, 'min': 9131.855374800638, 'avg': 10502.136636363635}
{'gen': 29, 'nevals': 166, 'min': 9031.484976076556, 'avg': 10314.094223763954}
{'gen': 30, 'nevals': 164, 'min': 9031.484976076556, 'avg': 10137.032279904306}
{'gen': 31, 'nevals': 166, 'min': 9031.484976076556, 'avg': 9885.468628389155}
{'gen': 32, 'nevals': 162, 'min': 8825.179106858055, 'avg': 9758.054535725678}
{'gen': 33, 'nevals': 172, 'min': 8825.179106858055, 'avg': 9614.270163317384}
{'gen': 34, 'nevals': 165, 'min': 8795.837830940989, 'avg': 9515.983857256779}
{'gen': 35, 'nevals': 161, 'min': 8668.533046251994, 'avg': 9440.748763636364}
{'gen': 36, 'nevals': 160, 'min': 8535.825326953747, 'avg': 9277.608854864435}
