gen,nevals,time,min,avg
147,216,80.0044,42970.0,44372.132
148,206,80.5091,42740.0,44099.464
149,215,81.0371,42740.0,43865.428
150,211,81.5472,42321.0,43589.312
151,212,82.0842,42027.0,43278.58
152,213,82.6402,41908.0,43045.988
153,215,83.1646,41871.0,42806.844
154,212,83.712,41642.0,42538.86
155,216,84.2707,41040.0,42341.48
156,217,84.8183,40728.0,42078.728
157,216,85.36,40728.0,41861.192
158,216,85.9118,40404.0,41616.924
159,214,86.4642,40468.0,41417.22
160,210,86.9561,40122.0,41180.672
161,215,87.4892,39951.0,40957.032
162,214,88.0407,39787.0,40738.732
163,209,88.5802,39441.0,40503.46
164,207,89.1167,39441.0,40261.96
165,214,89.6636,38757.0,40040.984
166,214,90.2024,38589.0,39842.62
167,206,90.7207,38589.0,39654.892
168,208,91.228,38521.0,39419.924
169,214,91.793,38262.0,39177.212
170,220,92.3453,38262.0,38992.848
171,215,92.9075,38014.0,38792.472
172,215,93.4623,37938.0,38582.324
173,212,93.9995,37308.0,38403.504
174,216,94.5518,37308.0,38200.496
175,213,95.1095,37005.0,38010.516
176,218,95.6456,37005.0,37808.964
177,212,96.1728,36809.0,37597.964
178,214,96.7084,36651.0,37422.68
179,215,97.2327,36205.0,37239.648
180,210,97.7547,36103.0,37049.456
181,213,98.2859,35917.0,36864.692
182,217,98.827,35890.0,36667.728
183,210,99.3398,35778.0,36479.828
184,216,99.9275,35565.0,36320.844
185,205,100.4177,35565.0,36155.072
186,212,100.958,35305.0,36004.512
187,212,101.4594,35164.0,35845.844
188,211,101.9807,34992.0,35676.904
189,216,102.5532,34951.0,35522.248
190,214,103.0827,34831.0,35371.44
191,212,103.6295,34565.0,35241.976
192,198,104.1132,34323.0,35108.664
193,218,104.7015,34211.0,34998.108
194,210,105.2371,34104.0,34837.128
195,212,105.7764,33973.0,34675.916
196,213,106.3227,33973.0,34542.324
197,213,106.8544,33795.0,34416.448
198,208,107.3486,33595.0,34269.316
199,210,107.8605,33484.0,34141.608
200,217,108.3885,33413.0,34021.848
201,217,109.0809,33232.0,33902.408
202,212,109.5866,33232.0,33782.592
203,220,110.086,33120.0,33659.468
204,208,110.5563,33053.0,33535.82
205,214,111.0572,32902.0,33425.62
206,216,111.5784,32812.0,33333.932
207,218,112.1049,32783.0,33228.948
208,214,112.6283,32664.0,33118.556
209,208,113.1091,32466.0,33016.756
210,216,113.6137,32453.0,32906.732
211,215,114.1124,32222.0,32806.556
212,218,114.6254,32222.0,32693.896
213,216,115.1496,32102.0,32586.852
214,212,115.64,32081.0,32476.408
215,214,116.1437,31865.0,32367.36
216,221,116.6597,31865.0,32272.444
217,213,117.1586,31817.0,32178.744
218,213,117.6713,31692.0,32085.368
219,212,118.1539,31638.0,31992.34
220,215,118.6729,31556.0,31918.504
221,206,119.1667,31488.0,31846.78
222,212,119.6752,31431.0,31761.12
223,214,120.1762,31361.0,31683.708
224,216,120.6959,31262.0,31599.96
225,220,121.2142,31190.0,31528.92
226,212,121.7196,31068.0,31439.684
227,211,122.2151,30986.0,31354.668
228,213,122.7416,30853.0,31277.008
229,214,123.2458,30853.0,31199.256
230,218,123.7676,30786.0,31118.296
231,213,124.3203,30786.0,31038.152
232,214,124.8319,30625.0,30974.668
233,215,125.3444,30614.0,30901.304
234,209,125.8188,30492.0,30833.544
235,208,126.3002,30492.0,30755.088
236,213,126.861,30409.0,30686.716
237,212,127.3718,30316.0,30620.672
238,213,127.909,30199.0,30559.592
239,209,128.409,30199.0,30495.788
240,221,128.9391,30123.0,30428.224
241,216,129.4883,30116.0,30353.816
242,218,130.028,30036.0,30290.412
243,217,130.5336,29946.0,30215.952
244,209,131.0414,29946.0,30147.588
245,213,131.5595,29818.0,30096.388
246,215,132.0604,29772.0,30026.008
247,218,132.5767,29754.0,29970.712
248,218,133.1037,29694.0,29912.272
249,216,133.6831,29610.0,29863.892
250,212,134.2171,29607.0,29809.204
251,213,134.7538,29522.0,29758.332
252,214,135.3022,29496.0,29694.668
253,212,135.8075,29472.0,29639.2
254,209,136.3054,29356.0,29589.792
255,214,136.8303,29356.0,29542.356
256,219,137.3928,29261.0,29489.412
257,212,137.9346,29226.0,29436.684
258,216,138.4772,29211.0,29393.076
259,207,138.9853,29171.0,29345.44
260,211,139.5065,29145.0,29302.06
261,212,140.0408,29105.0,29254.732
262,214,140.6237,29046.0,29211.064
263,204,141.1255,28947.0,29164.26
264,211,141.6684,28899.0,29119.44
265,214,142.1929,28899.0,29079.832
266,208,142.7221,28859.0,29034.988
267,209,143.2842,28807.0,28987.756
268,214,143.87,28768.0,28951.34
269,215,144.4158,28759.0,28913.22
270,213,144.952,28695.0,28871.044
271,219,145.4979,28605.0,28825.768
272,203,146.0637,28565.0,28778.416
273,216,146.6574,28523.0,28744.224
274,222,147.2381,28523.0,28701.564
275,207,147.7887,28473.0,28657.488
276,211,148.3415,28355.0,28614.432
277,208,148.8577,28355.0,28573.056
278,214,149.4054,28347.0,28523.28
279,215,149.9753,28307.0,28474.764
280,213,150.5514,28286.0,28438.68
281,210,151.0919,28247.0,28397.08
282,207,151.6341,28183.0,28365.14
283,216,152.2015,28183.0,28326.464
284,210,152.7656,28127.0,28298.032
285,212,153.3064,28127.0,28258.868
286,222,153.8808,28051.0,28226.764
287,214,154.439,28026.0,28192.276
288,201,154.9683,28026.0,28153.86
289,216,155.5144,28008.0,28122.704
290,218,156.0905,27958.0,28088.032
