{'gen': 0, 'nevals': 200, 'min': 24095.71192982456, 'avg': 27794.182195534286}
{'gen': 1, 'nevals': 162, 'min': 23840.955502392346, 'avg': 27046.923280701754}
{'gen': 2, 'nevals': 160, 'min': 22688.926507177035, 'avg': 26409.113548803827}
{'gen': 3, 'nevals': 168, 'min': 22542.410877192982, 'avg': 25992.708140510367}
{'gen': 4, 'nevals': 162, 'min': 22542.410877192982, 'avg': 25756.75059984051}
{'gen': 5, 'nevals': 164, 'min': 22512.190749601275, 'avg': 25704.643035566187}
{'gen': 6, 'nevals': 156, 'min': 21709.33875598086, 'avg': 25465.03339808612}
{'gen': 7, 'nevals': 160, 'min': 21153.27384370016, 'avg': 25193.482551993624}
{'gen': 8, 'nevals': 168, 'min': 20969.35090909091, 'avg': 24853.643573684207}
{'gen': 9, 'nevals': 162, 'min': 20969.35090909091, 'avg': 24608.626561881974}
{'gen': 10, 'nevals': 170, 'min': 20969.35090909091, 'avg': 24350.01157862839}
{'gen': 11, 'nevals': 154, 'min': 20969.35090909091, 'avg': 24085.808085645935}
{'gen': 12, 'nevals': 173, 'min': 20785.66028708134, 'avg': 23825.936709250396}
{'gen': 13, 'nevals': 166, 'min': 20731.66414673046, 'avg': 23457.137852153108}
{'gen': 14, 'nevals': 172, 'min': 20429.236140350877, 'avg': 23370.739000159494}
{'gen': 15, 'nevals': 163, 'min': 20317.292503987243, 'avg': 22987.33502232855}
{'gen': 16, 'nevals': 156, 'min': 20317.292503987243, 'avg': 22654.41494704944}
{'gen': 17, 'nevals': 164, 'min': 19946.335247208932, 'avg': 22557.51440845295}
{'gen': 18, 'nevals': 162, 'min': 19537.491419457736, 'avg': 22162.771812280702}
{'gen': 19, 'nevals': 171, 'min': 19357.983636363635, 'avg': 21928.054224561405}
{'gen': 20, 'nevals': 170, 'min': 19081.647336523125, 'avg': 21629.92395709729}
{'gen': 21, 'nevals': 168, 'min': 19081.647336523125, 'avg': 21237.062041307814}
{'gen': 22, 'nevals': 156, 'min': 18445.959553429027, 'avg': 20998.60542280702}
{'gen': 23, 'nevals': 169, 'min': 18445.959553429027, 'avg': 20825.18389952153}
{'gen': 24, 'nevals': 164, 'min': 18445.959553429027, 'avg': 20672.342228389156}
{'gen': 25, 'nevals': 172, 'min': 18191.417129186604, 'avg': 20478.410527113236}
{'gen': 26, 'nevals': 158, 'min': 17804.121499202553, 'avg': 20182.22785247209}
{'gen': 27, 'nevals': 162, 'min': 17804.121499202553, 'avg': 19937.26960430622}
{'gen': 28, 'nevals': 162, 'min': 17365.576044657097, 'avg': 19764.362457416268}
{'gen': 29, 'nevals': 158, 'min': 17043.082711323765, 'avg': 19519.02029681021}
{'gen': 30, 'nevals': 160, 'min': 17043.082711323765, 'avg': 19369.58039138756}
{'gen': 31, 'nevals': 152, 'min': 17043.082711323765, 'avg': 19061.398606379586}
{'gen': 32, 'nevals': 166, 'min': 16748.1, 'avg': 18965.124856778308}
{'gen': 33, 'nevals': 164, 'min': 16748.1, 'avg': 18746.878510047845}
{'gen': 34, 'nevals': 168, 'min': 16531.429792663475, 'avg': 18604.671194417864}
{'gen': 35, 'nevals': 167, 'min': 16531.429792663475, 'avg': 18424.14547862839}
{'gen': 36, 'nevals': 170, 'min': 16402.46360446571, 'avg': 18231.615307336524}
{'gen': 37, 'nevals': 152, 'min': 16194.348580542264, 'avg': 18016.035163636363}
{'gen': 38, 'nevals': 162, 'min': 15879.689984051036, 'avg': 17846.895436044655}
{'gen': 39, 'nevals': 161, 'min': 15879.689984051036, 'avg': 17688.013145295055}
{'gen': 40, 'nevals': 158, 'min': 15879.689984051036, 'avg': 17473.225120733656}
{'gen': 41, 'nevals': 163, 'min': 15879.689984051036, 'avg': 17293.455936682614}
{'gen': 42, 'nevals': 160, 'min': 15285.344880382776, 'avg': 17096.055381180224}
{'gen': 43, 'nevals': 160, 'min': 15145.128229665072, 'avg': 16900.896237161083}
{'gen': 44, 'nevals': 172, 'min': 15145.128229665072, 'avg': 16765.25347448166}
{'gen': 45, 'nevals': 158, 'min': 15145.128229665072, 'avg': 16552.329944816585}
{'gen': 46, 'nevals': 150, 'min': 15145.128229665072, 'avg': 16366.935992344499}
{'gen': 47, 'nevals': 152, 'min': 15014.644593301435, 'avg': 16140.88089106858}
{'gen': 48, 'nevals': 174, 'min': 14991.495374800637, 'avg': 16005.05297001595}
{'gen': 49, 'nevals': 156, 'min': 14571.4063476874, 'avg': 15795.214570972887}
{'gen': 50, 'nevals': 158, 'min': 14571.4063476874, 'avg': 15646.100153110048}
{'gen': 51, 'nevals': 156, 'min': 14568.304688995215, 'avg': 15448.289179106858}
{'gen': 52, 'nevals': 166, 'min': 14252.698532695375, 'avg': 15301.34409489633}
{'gen': 53, 'nevals': 160, 'min': 14243.658915470494, 'avg': 15108.657596650719}
{'gen': 54, 'nevals': 166, 'min': 14040.34427432217, 'avg': 14939.57996905901}
{'gen': 55, 'nevals': 162, 'min': 13854.97119617225, 'avg': 14849.328018341306}
{'gen': 56, 'nevals': 164, 'min': 13800.379106858054, 'avg': 14742.870944019138}
{'gen': 57, 'nevals': 164, 'min': 13601.525677830941, 'avg': 14594.862660287083}
{'gen': 58, 'nevals': 154, 'min': 13601.525677830941, 'avg': 14462.883399043063}
{'gen': 59, 'nevals': 160, 'min': 13601.525677830941, 'avg': 14310.544033971293}
{'gen': 60, 'nevals': 168, 'min': 13182.726698564593, 'avg': 14242.874563955344}
{'gen': 61, 'nevals': 158, 'min': 13009.699649122807, 'avg': 14072.529600956937}
{'gen': 62, 'nevals': 168, 'min': 13009.699649122807, 'avg': 13937.330666188198}
{'gen': 63, 'nevals': 160, 'min': 12975.064210526316, 'avg': 13820.167513875598}
{'gen': 64, 'nevals': 162, 'min': 12975.064210526316, 'avg': 13780.327292025519}
{'gen': 65, 'nevals': 154, 'min': 12975.064210526316, 'avg': 13680.675481818182}
{'gen': 66, 'nevals': 172, 'min': 12809.64360446571, 'avg': 13601.11630877193}
{'gen': 67, 'nevals': 162, 'min': 12769.518915470495, 'avg': 13485.713688835725}
{'gen': 68, 'nevals': 156, 'min': 12616.156140350877, 'avg': 13350.656051834132}
{'gen': 69, 'nevals': 164, 'min': 12304.702169059012, 'avg': 13248.142872567782}
{'gen': 70, 'nevals': 160, 'min': 12304.702169059012, 'avg': 13138.052010366826}
{'gen': 71, 'nevals': 158, 'min': 12223.923668261563, 'avg': 13022.762072727273}
{'gen': 72, 'nevals': 168, 'min': 12072.289824561403, 'avg': 12891.976648963317}
{'gen': 73, 'nevals': 168, 'min': 12072.289824561403, 'avg': 12789.123345614036}
{'gen': 74, 'nevals': 147, 'min': 11785.070366826156, 'avg': 12689.261144497608}
{'gen': 75, 'nevals': 156, 'min': 11785.070366826156, 'avg': 12554.542932854863}
{'gen': 76, 'nevals': 162, 'min': 11785.070366826156, 'avg': 12442.726181499203}
{'gen': 77, 'nevals': 160, 'min': 11725.14038277512, 'avg': 12318.093762838915}
{'gen': 78, 'nevals': 170, 'min': 11404.268389154706, 'avg': 12243.348568421054}
{'gen': 79, 'nevals': 150, 'min': 11404.268389154706, 'avg': 12144.474912759171}
{'gen': 80, 'nevals': 161, 'min': 11391.5473046252, 'avg': 12004.29469952153}
{'gen': 81, 'nevals': 158, 'min': 11320.56105263158, 'avg': 11872.844455183415}
{'gen': 82, 'nevals': 158, 'min': 11182.711674641148, 'avg': 11793.715955183412}
{'gen': 83, 'nevals': 153, 'min': 11145.85346092504, 'avg': 11678.382283253588}
{'gen': 84, 'nevals': 168, 'min': 10949.359681020733, 'avg': 11565.932392663475}
{'gen': 85, 'nevals': 156, 'min': 10949.359681020733, 'avg': 11485.539041148326}
{'gen': 86, 'nevals': 166, 'min': 10820.72465709729, 'avg': 11431.558057256778}
{'gen': 87, 'nevals': 164, 'min': 10758.429218500798, 'avg': 11348.06009138756}
{'gen': 88, 'nevals': 166, 'min': 10537.662519936204, 'avg': 11236.020723285486}
{'gen': 89, 'nevals': 152, 'min': 10537.662519936204, 'avg': 11151.761111483253}
{'gen': 90, 'nevals': 164, 'min': 10466.559585326953, 'avg': 11073.447266347688}
{'gen': 91, 'nevals': 168, 'min': 10466.559585326953, 'avg': 10962.510412599682}
{'gen': 92, 'nevals': 154, 'min': 10364.410972886762, 'avg': 10869.936859170655}
{'gen': 93, 'nevals': 158, 'min': 10294.742041467305, 'avg': 10772.29237830941}
{'gen': 94, 'nevals': 166, 'min': 10145.291068580542, 'avg': 10693.624731419457}
{'gen': 95, 'nevals': 166, 'min': 10145.291068580542, 'avg': 10632.513720574163}
{'gen': 96, 'nevals': 164, 'min': 10028.147814992026, 'avg': 10546.444770015949}
{'gen': 97, 'nevals': 166, 'min': 10007.051483253588, 'avg': 10455.737971610844}
{'gen': 98, 'nevals': 166, 'min': 9999.414673046253, 'avg': 10375.77805263158}
{'gen': 99, 'nevals': 160, 'min': 9879.19062200957, 'avg': 10292.545157256776}
{'gen': 100, 'nevals': 164, 'min': 9815.827177033492, 'avg': 10214.981036523126}
{'gen': 101, 'nevals': 154, 'min': 9764.588102073365, 'avg': 10151.49093030303}
{'gen': 102, 'nevals': 171, 'min': 9651.07298245614, 'avg': 10112.795012121212}
{'gen': 103, 'nevals': 162, 'min': 9651.07298245614, 'avg': 10025.638517543859}
{'gen': 104, 'nevals': 168, 'min': 9583.74456140351, 'avg': 9920.666975757576}
{'gen': 105, 'nevals': 157, 'min': 9527.27601275917, 'avg': 9848.382215629983}
{'gen': 106, 'nevals': 162, 'min': 9350.230940988835, 'avg': 9781.838130940989}
{'gen': 107, 'nevals': 162, 'min': 9253.036459330144, 'avg': 9719.724954385965}
{'gen': 108, 'nevals': 164, 'min': 9253.036459330144, 'avg': 9646.202863636363}
{'gen': 109, 'nevals': 168, 'min': 9155.954194577353, 'avg': 9574.932072089314}
{'gen': 110, 'nevals': 162, 'min': 9155.954194577353, 'avg': 9484.11425550239}
{'gen': 111, 'nevals': 168, 'min': 9038.838468899521, 'avg': 9413.870416427431}
{'gen': 112, 'nevals': 166, 'min': 9019.6195215311, 'avg': 9346.683414832536}
{'gen': 113, 'nevals': 164, 'min': 8895.71754385965, 'avg': 9303.65611323764}
{'gen': 114, 'nevals': 166, 'min': 8842.418054226475, 'avg': 9249.473675917066}
{'gen': 115, 'nevals': 166, 'min': 8842.418054226475, 'avg': 9193.097193620415}
{'gen': 116, 'nevals': 162, 'min': 8840.257097288677, 'avg': 9130.915618341307}
{'gen': 117, 'nevals': 170, 'min': 8734.104688995216, 'avg': 9064.180091866028}
{'gen': 118, 'nevals': 155, 'min': 8709.261945773525, 'avg': 8991.329913875597}
{'gen': 119, 'nevals': 171, 'min': 8670.059393939395, 'avg': 8928.023820414672}
{'gen': 120, 'nevals': 164, 'min': 8494.808963317384, 'avg': 8863.848378947368}
{'gen': 121, 'nevals': 168, 'min': 8494.808963317384, 'avg': 8817.580197767145}
{'gen': 122, 'nevals': 164, 'min': 8494.808963317384, 'avg': 8771.82215247209}
{'gen': 123, 'nevals': 170, 'min': 8494.808963317384, 'avg': 8716.083115151516}
{'gen': 124, 'nevals': 164, 'min': 8476.864912280702, 'avg': 8676.77295199362}
{'gen': 125, 'nevals': 160, 'min': 8413.707081339713, 'avg': 8638.77339138756}
{'gen': 126, 'nevals': 164, 'min': 8410.499298245613, 'avg': 8595.433968102072}
{'gen': 127, 'nevals': 156, 'min': 8372.615087719298, 'avg': 8555.05195167464}
{'gen': 128, 'nevals': 173, 'min': 8324.640414673046, 'avg': 8520.767181499203}
{'gen': 129, 'nevals': 154, 'min': 8255.694704944179, 'avg': 8472.591593141946}
{'gen': 130, 'nevals': 160, 'min': 8212.967177033493, 'avg': 8430.73876539075}
{'gen': 131, 'nevals': 170, 'min': 8198.64663476874, 'avg': 8389.540693939394}
{'gen': 132, 'nevals': 154, 'min': 8174.600925039872, 'avg': 8352.164995534291}
{'gen': 133, 'nevals': 164, 'min': 8165.588389154705, 'avg': 8318.376546411484}
{'gen': 134, 'nevals': 160, 'min': 8113.343540669856, 'avg': 8285.998900637958}
{'gen': 135, 'nevals': 156, 'min': 8059.558277511962, 'avg': 8256.124110685805}
{'gen': 136, 'nevals': 168, 'min': 8059.558277511962, 'avg': 8220.259958532695}
{'gen': 137, 'nevals': 160, 'min': 8015.6135566188195, 'avg': 8175.253525518341}
{'gen': 138, 'nevals': 160, 'min': 8001.201562998405, 'avg': 8149.147950398724}
{'gen': 139, 'nevals': 168, 'min': 7934.865454545455, 'avg': 8119.987703189793}
{'gen': 140, 'nevals': 156, 'min': 7934.865454545455, 'avg': 8094.295154066985}
