{'gen': 0, 'nevals': 300, 'min': 18427.630740162655, 'avg': 22048.405122421595}
{'gen': 1, 'nevals': 258, 'min': 18427.630740162655, 'avg': 21256.7799229364}
{'gen': 2, 'nevals': 266, 'min': 17088.553379258545, 'avg': 20993.369664088754}
{'gen': 3, 'nevals': 250, 'min': 16758.430789452064, 'avg': 20578.812152421637}
{'gen': 4, 'nevals': 236, 'min': 16349.604968842052, 'avg': 20172.008049039054}
{'gen': 5, 'nevals': 244, 'min': 16120.977174308482, 'avg': 19909.929565353457}
{'gen': 6, 'nevals': 244, 'min': 16120.977174308482, 'avg': 19678.258647396855}
{'gen': 7, 'nevals': 248, 'min': 16033.946732229408, 'avg': 19364.25165311208}
{'gen': 8, 'nevals': 259, 'min': 16033.946732229408, 'avg': 19241.581742654507}
{'gen': 9, 'nevals': 257, 'min': 15541.75554799263, 'avg': 19114.141124228874}
{'gen': 10, 'nevals': 262, 'min': 15313.51834857002, 'avg': 18999.477427875117}
{'gen': 11, 'nevals': 240, 'min': 15313.51834857002, 'avg': 18740.787077098812}
{'gen': 12, 'nevals': 247, 'min': 15313.51834857002, 'avg': 18662.88337996268}
{'gen': 13, 'nevals': 245, 'min': 15313.51834857002, 'avg': 18594.058606517938}
{'gen': 14, 'nevals': 249, 'min': 14310.02489115255, 'avg': 18378.379017967167}
{'gen': 15, 'nevals': 260, 'min': 14310.02489115255, 'avg': 18164.59336173342}
{'gen': 16, 'nevals': 249, 'min': 14310.02489115255, 'avg': 18131.433241561142}
{'gen': 17, 'nevals': 259, 'min': 14310.02489115255, 'avg': 18132.90306916556}
{'gen': 18, 'nevals': 263, 'min': 14310.02489115255, 'avg': 17921.653121975643}
{'gen': 19, 'nevals': 246, 'min': 14310.02489115255, 'avg': 17838.537453849855}
{'gen': 20, 'nevals': 254, 'min': 14310.02489115255, 'avg': 17656.930143095764}
{'gen': 21, 'nevals': 236, 'min': 14310.02489115255, 'avg': 17388.345742607566}
