{'gen': 0, 'nevals': 200, 'min': 17108.32245614035, 'avg': 28650.94894449761}
{'gen': 1, 'nevals': 168, 'min': 15533.116650717704, 'avg': 25928.977945295057}
{'gen': 2, 'nevals': 149, 'min': 15533.116650717704, 'avg': 24569.538137958534}
{'gen': 3, 'nevals': 160, 'min': 15356.494641148325, 'avg': 23377.912956778313}
{'gen': 4, 'nevals': 168, 'min': 14143.262807017543, 'avg': 22637.06732264753}
{'gen': 5, 'nevals': 166, 'min': 14143.262807017543, 'avg': 21819.8710307815}
{'gen': 6, 'nevals': 162, 'min': 14143.262807017543, 'avg': 21411.195927751196}
{'gen': 7, 'nevals': 162, 'min': 13725.949728867623, 'avg': 20813.33034816587}
{'gen': 8, 'nevals': 166, 'min': 13599.20711323764, 'avg': 19971.838818500797}
{'gen': 9, 'nevals': 158, 'min': 13172.154800637958, 'avg': 19282.522128229666}
{'gen': 10, 'nevals': 163, 'min': 13076.409027113237, 'avg': 18691.58362998405}
{'gen': 11, 'nevals': 160, 'min': 12611.186953748007, 'avg': 17874.290719936205}
{'gen': 12, 'nevals': 158, 'min': 12243.87403508772, 'avg': 16990.335257256775}
{'gen': 13, 'nevals': 156, 'min': 12243.87403508772, 'avg': 16491.084019776714}
{'gen': 14, 'nevals': 168, 'min': 12007.881116427432, 'avg': 15700.82878325359}
{'gen': 15, 'nevals': 164, 'min': 12007.881116427432, 'avg': 14645.653076395532}
{'gen': 16, 'nevals': 152, 'min': 11968.955725677832, 'avg': 13886.305637001595}
{'gen': 17, 'nevals': 160, 'min': 11968.955725677832, 'avg': 13703.983615629984}
{'gen': 18, 'nevals': 158, 'min': 11544.790845295056, 'avg': 13452.5613476874}
{'gen': 19, 'nevals': 164, 'min': 11483.839106858055, 'avg': 13353.990646730463}
{'gen': 20, 'nevals': 170, 'min': 11483.839106858055, 'avg': 13306.705407177033}
{'gen': 21, 'nevals': 170, 'min': 11483.839106858055, 'avg': 13373.200916267942}
{'gen': 22, 'nevals': 168, 'min': 11028.061467304626, 'avg': 13115.351789154705}
{'gen': 23, 'nevals': 168, 'min': 11028.061467304626, 'avg': 12953.582962360448}
{'gen': 24, 'nevals': 164, 'min': 11028.061467304626, 'avg': 12744.48354848485}
{'gen': 25, 'nevals': 158, 'min': 10950.935406698565, 'avg': 12508.650928708134}
{'gen': 26, 'nevals': 166, 'min': 10950.935406698565, 'avg': 12320.08333907496}
