{'gen': 0, 'nevals': 200, 'min': 41314.20265486726, 'avg': 44849.977136907866}
{'gen': 1, 'nevals': 164, 'min': 41091.18414888079, 'avg': 44052.86808563249}
{'gen': 2, 'nevals': 152, 'min': 40930.22295679334, 'avg': 43629.63499388339}
{'gen': 3, 'nevals': 160, 'min': 40191.00640291515, 'avg': 43436.797022904735}
{'gen': 4, 'nevals': 172, 'min': 39962.79026548673, 'avg': 43039.28492790214}
{'gen': 5, 'nevals': 164, 'min': 39962.79026548673, 'avg': 43077.45039471629}
{'gen': 6, 'nevals': 158, 'min': 39112.01592920354, 'avg': 42807.608676861004}
{'gen': 7, 'nevals': 164, 'min': 38242.44260801666, 'avg': 42454.92149830817}
{'gen': 8, 'nevals': 156, 'min': 38242.44260801666, 'avg': 42015.851959005726}
{'gen': 9, 'nevals': 168, 'min': 38242.44260801666, 'avg': 41855.50091215513}
{'gen': 10, 'nevals': 168, 'min': 37527.40218636127, 'avg': 41684.103003123375}
{'gen': 11, 'nevals': 164, 'min': 36786.66605934409, 'avg': 41457.54401939094}
{'gen': 12, 'nevals': 166, 'min': 36786.66605934409, 'avg': 41096.77049466423}
{'gen': 13, 'nevals': 154, 'min': 36786.66605934409, 'avg': 40831.62101756898}
{'gen': 14, 'nevals': 170, 'min': 36786.66605934409, 'avg': 40386.10892829255}
{'gen': 15, 'nevals': 156, 'min': 36618.969807391986, 'avg': 39977.41586335242}
{'gen': 16, 'nevals': 152, 'min': 36056.819312857886, 'avg': 39365.91151041124}
{'gen': 17, 'nevals': 162, 'min': 36056.819312857886, 'avg': 39290.860315200414}
{'gen': 18, 'nevals': 165, 'min': 36056.819312857886, 'avg': 38793.0638366736}
{'gen': 19, 'nevals': 165, 'min': 35886.415877147316, 'avg': 38453.59431402915}
{'gen': 20, 'nevals': 164, 'min': 35111.75541384696, 'avg': 37953.6313437012}
{'gen': 21, 'nevals': 167, 'min': 35111.75541384696, 'avg': 37648.39024479438}
{'gen': 22, 'nevals': 163, 'min': 35107.03490369599, 'avg': 37262.130184799586}
{'gen': 23, 'nevals': 162, 'min': 34919.24768349818, 'avg': 36973.571310905776}
{'gen': 24, 'nevals': 170, 'min': 34919.24768349818, 'avg': 36600.98546460177}
{'gen': 25, 'nevals': 166, 'min': 34236.034435190006, 'avg': 36234.44532014576}
{'gen': 26, 'nevals': 155, 'min': 34236.034435190006, 'avg': 36036.81269742322}
{'gen': 27, 'nevals': 165, 'min': 34082.61228526809, 'avg': 35818.111998698594}
{'gen': 28, 'nevals': 156, 'min': 33839.62753774076, 'avg': 35534.353915929205}
{'gen': 29, 'nevals': 166, 'min': 33444.072019781364, 'avg': 35281.78734539302}
{'gen': 30, 'nevals': 153, 'min': 33444.072019781364, 'avg': 35026.33814914107}
{'gen': 31, 'nevals': 170, 'min': 33394.506194690264, 'avg': 34877.857245445084}
{'gen': 32, 'nevals': 162, 'min': 33179.09091618948, 'avg': 34854.06036478397}
