{'gen': 0, 'nevals': 200, 'min': 24080.46909090909, 'avg': 28684.24598708134}
{'gen': 1, 'nevals': 158, 'min': 23991.04066985646, 'avg': 27945.980241786285}
{'gen': 2, 'nevals': 162, 'min': 23502.844465709728, 'avg': 27191.368782934613}
{'gen': 3, 'nevals': 166, 'min': 22782.38293460925, 'avg': 26576.65127799043}
{'gen': 4, 'nevals': 156, 'min': 20974.92701754386, 'avg': 26208.749755023924}
{'gen': 5, 'nevals': 166, 'min': 20974.92701754386, 'avg': 25820.77581212121}
{'gen': 6, 'nevals': 164, 'min': 20974.92701754386, 'avg': 25423.395364912278}
{'gen': 7, 'nevals': 166, 'min': 20886.503444976075, 'avg': 24987.633094098885}
{'gen': 8, 'nevals': 160, 'min': 19605.291961722487, 'avg': 24791.913025199363}
{'gen': 9, 'nevals': 156, 'min': 19365.71763955343, 'avg': 24522.876286283896}
{'gen': 10, 'nevals': 145, 'min': 19229.815725677832, 'avg': 23857.529110366828}
{'gen': 11, 'nevals': 156, 'min': 19229.815725677832, 'avg': 23577.54349792664}
{'gen': 12, 'nevals': 164, 'min': 19110.01649122807, 'avg': 23226.726954545455}
{'gen': 13, 'nevals': 160, 'min': 18835.708293460924, 'avg': 23064.507592344497}
{'gen': 14, 'nevals': 162, 'min': 18795.380063795852, 'avg': 22994.15947511962}
{'gen': 15, 'nevals': 159, 'min': 18376.128676236043, 'avg': 22928.071176395537}
{'gen': 16, 'nevals': 156, 'min': 18376.128676236043, 'avg': 22492.055420095694}
{'gen': 17, 'nevals': 164, 'min': 18367.25470494418, 'avg': 22201.284298405106}
{'gen': 18, 'nevals': 168, 'min': 18367.25470494418, 'avg': 21960.539476714515}
{'gen': 19, 'nevals': 168, 'min': 17617.03725677831, 'avg': 21752.60443413078}
{'gen': 20, 'nevals': 169, 'min': 17617.03725677831, 'avg': 21711.409952472084}
{'gen': 21, 'nevals': 160, 'min': 17617.03725677831, 'avg': 21319.074282137164}
{'gen': 22, 'nevals': 158, 'min': 17617.03725677831, 'avg': 21137.92850669856}
{'gen': 23, 'nevals': 160, 'min': 17617.03725677831, 'avg': 20838.80608708134}
{'gen': 24, 'nevals': 163, 'min': 17094.626507177032, 'avg': 20586.96846969697}
{'gen': 25, 'nevals': 158, 'min': 16708.93384370016, 'avg': 20272.652261244017}
{'gen': 26, 'nevals': 154, 'min': 15526.512918660286, 'avg': 19843.634736842105}
{'gen': 27, 'nevals': 162, 'min': 15526.512918660286, 'avg': 19708.01081291866}
{'gen': 28, 'nevals': 160, 'min': 15526.512918660286, 'avg': 19346.62199202552}
{'gen': 29, 'nevals': 169, 'min': 15526.512918660286, 'avg': 19186.610424401915}
{'gen': 30, 'nevals': 165, 'min': 15526.512918660286, 'avg': 18733.40737001595}
{'gen': 31, 'nevals': 155, 'min': 15526.512918660286, 'avg': 18321.89757416268}
{'gen': 32, 'nevals': 162, 'min': 15165.35403508772, 'avg': 17996.330185167466}
{'gen': 33, 'nevals': 162, 'min': 15165.35403508772, 'avg': 17428.346180063796}
{'gen': 34, 'nevals': 164, 'min': 14908.24740031898, 'avg': 17128.720152153113}
{'gen': 35, 'nevals': 164, 'min': 14908.24740031898, 'avg': 16802.158737639555}
{'gen': 36, 'nevals': 168, 'min': 14408.010462519936, 'avg': 16479.82540829346}
{'gen': 37, 'nevals': 166, 'min': 13879.852535885168, 'avg': 16255.506363636363}
{'gen': 38, 'nevals': 157, 'min': 13879.852535885168, 'avg': 15810.589519138755}
{'gen': 39, 'nevals': 154, 'min': 13835.560925039872, 'avg': 15481.136060925037}
{'gen': 40, 'nevals': 158, 'min': 13810.91081339713, 'avg': 15195.13393875598}
{'gen': 41, 'nevals': 164, 'min': 13011.538309409889, 'avg': 15072.228462041467}
{'gen': 42, 'nevals': 168, 'min': 12809.379489633175, 'avg': 14758.07789043062}
{'gen': 43, 'nevals': 161, 'min': 12809.379489633175, 'avg': 14459.183899043062}
{'gen': 44, 'nevals': 150, 'min': 12716.265645933014, 'avg': 14144.252471610846}
{'gen': 45, 'nevals': 169, 'min': 12338.05933014354, 'avg': 13966.627944816586}
{'gen': 46, 'nevals': 164, 'min': 12338.05933014354, 'avg': 13735.663066507177}
{'gen': 47, 'nevals': 161, 'min': 12338.05933014354, 'avg': 13549.885125518344}
{'gen': 48, 'nevals': 166, 'min': 11715.819011164274, 'avg': 13326.734457097291}
{'gen': 49, 'nevals': 166, 'min': 11715.819011164274, 'avg': 13159.337433014354}
{'gen': 50, 'nevals': 158, 'min': 11715.819011164274, 'avg': 12876.781390111642}
{'gen': 51, 'nevals': 164, 'min': 11610.82663476874, 'avg': 12638.840528548644}
{'gen': 52, 'nevals': 172, 'min': 11322.689537480064, 'avg': 12454.800739393937}
{'gen': 53, 'nevals': 162, 'min': 11003.533492822966, 'avg': 12325.748199521531}
{'gen': 54, 'nevals': 158, 'min': 11003.533492822966, 'avg': 12122.649195534288}
{'gen': 55, 'nevals': 162, 'min': 10612.477862838916, 'avg': 11994.734688038276}
{'gen': 56, 'nevals': 168, 'min': 10612.477862838916, 'avg': 11827.886943540669}
{'gen': 57, 'nevals': 164, 'min': 10411.415438596492, 'avg': 11590.740859808611}
{'gen': 58, 'nevals': 158, 'min': 10411.415438596492, 'avg': 11459.15572121212}
{'gen': 59, 'nevals': 167, 'min': 10298.662807017545, 'avg': 11309.25423827751}
{'gen': 60, 'nevals': 168, 'min': 10236.080159489633, 'avg': 11090.760241626795}
{'gen': 61, 'nevals': 164, 'min': 10162.055757575758, 'avg': 10932.190987719297}
{'gen': 62, 'nevals': 163, 'min': 9974.74918660287, 'avg': 10724.7068169059}
{'gen': 63, 'nevals': 164, 'min': 9896.378149920256, 'avg': 10578.233627751195}
{'gen': 64, 'nevals': 166, 'min': 9630.28303030303, 'avg': 10434.126411642745}
{'gen': 65, 'nevals': 168, 'min': 9589.260988835726, 'avg': 10294.360753588517}
{'gen': 66, 'nevals': 154, 'min': 9365.071706539075, 'avg': 10163.844440031899}
{'gen': 67, 'nevals': 168, 'min': 9365.071706539075, 'avg': 10002.023022328549}
{'gen': 68, 'nevals': 166, 'min': 9152.422998405103, 'avg': 9853.5777261563}
{'gen': 69, 'nevals': 158, 'min': 9152.422998405103, 'avg': 9778.490629346092}
{'gen': 70, 'nevals': 166, 'min': 9117.711770334929, 'avg': 9674.752049122806}
{'gen': 71, 'nevals': 158, 'min': 9041.833237639554, 'avg': 9580.663529346093}
{'gen': 72, 'nevals': 160, 'min': 8832.12255183413, 'avg': 9483.440315151514}
{'gen': 73, 'nevals': 160, 'min': 8832.12255183413, 'avg': 9360.31882216906}
{'gen': 74, 'nevals': 156, 'min': 8670.844146730462, 'avg': 9231.295042583732}
{'gen': 75, 'nevals': 174, 'min': 8664.667496012758, 'avg': 9130.877646730463}
{'gen': 76, 'nevals': 164, 'min': 8652.128771929825, 'avg': 9035.974510207338}
{'gen': 77, 'nevals': 154, 'min': 8452.18966507177, 'avg': 8908.255881339714}
{'gen': 78, 'nevals': 164, 'min': 8446.096267942583, 'avg': 8831.044131100478}
{'gen': 79, 'nevals': 164, 'min': 8395.14720893142, 'avg': 8746.006061722488}
{'gen': 80, 'nevals': 164, 'min': 8296.624688995214, 'avg': 8672.017751515152}
{'gen': 81, 'nevals': 166, 'min': 8275.82086124402, 'avg': 8580.700569696968}
{'gen': 82, 'nevals': 172, 'min': 8151.28956937799, 'avg': 8533.710642743223}
{'gen': 83, 'nevals': 152, 'min': 8143.690462519936, 'avg': 8461.929627272726}
{'gen': 84, 'nevals': 170, 'min': 8061.9320574162675, 'avg': 8382.126544338118}
{'gen': 85, 'nevals': 153, 'min': 8010.676363636364, 'avg': 8319.333784051038}
{'gen': 86, 'nevals': 160, 'min': 8010.676363636364, 'avg': 8263.201020893142}
{'gen': 87, 'nevals': 154, 'min': 7909.221850079744, 'avg': 8201.549463476875}
{'gen': 88, 'nevals': 163, 'min': 7817.751291866029, 'avg': 8160.0583645933}
{'gen': 89, 'nevals': 166, 'min': 7800.075374800638, 'avg': 8099.274500637958}
{'gen': 90, 'nevals': 168, 'min': 7727.121531100478, 'avg': 8047.1888598086125}
{'gen': 91, 'nevals': 157, 'min': 7727.121531100478, 'avg': 8002.6444649122805}
{'gen': 92, 'nevals': 152, 'min': 7690.894800637959, 'avg': 7949.128467145136}
{'gen': 93, 'nevals': 157, 'min': 7614.617671451356, 'avg': 7889.171067942583}
{'gen': 94, 'nevals': 154, 'min': 7614.617671451356, 'avg': 7837.156957416268}
{'gen': 95, 'nevals': 162, 'min': 7544.07990430622, 'avg': 7788.581804625199}
{'gen': 96, 'nevals': 166, 'min': 7478.358755980861, 'avg': 7743.456903189794}
{'gen': 97, 'nevals': 156, 'min': 7400.944657097289, 'avg': 7693.942192185008}
{'gen': 98, 'nevals': 166, 'min': 7400.944657097289, 'avg': 7646.529877830942}
{'gen': 99, 'nevals': 156, 'min': 7400.944657097289, 'avg': 7608.266681818182}
{'gen': 100, 'nevals': 168, 'min': 7385.653524720893, 'avg': 7577.999545454546}
{'gen': 101, 'nevals': 151, 'min': 7376.590685805422, 'avg': 7543.130447368421}
{'gen': 102, 'nevals': 167, 'min': 7320.658979266348, 'avg': 7522.789032057417}
{'gen': 103, 'nevals': 164, 'min': 7290.038245614035, 'avg': 7477.743305263159}
{'gen': 104, 'nevals': 158, 'min': 7260.203253588516, 'avg': 7432.884293939394}
{'gen': 105, 'nevals': 158, 'min': 7115.865550239235, 'avg': 7392.655343859649}
{'gen': 106, 'nevals': 156, 'min': 7115.865550239235, 'avg': 7353.340786602872}
{'gen': 107, 'nevals': 164, 'min': 7115.865550239235, 'avg': 7317.100558692185}
{'gen': 108, 'nevals': 160, 'min': 7115.865550239235, 'avg': 7275.863488038278}
{'gen': 109, 'nevals': 154, 'min': 7080.081977671452, 'avg': 7243.894407017544}
{'gen': 110, 'nevals': 160, 'min': 7048.260637958532, 'avg': 7212.236158373207}
{'gen': 111, 'nevals': 172, 'min': 6990.443891547049, 'avg': 7186.995188516747}
{'gen': 112, 'nevals': 168, 'min': 6968.0976076555025, 'avg': 7151.850630622011}
{'gen': 113, 'nevals': 170, 'min': 6968.0976076555025, 'avg': 7117.26539106858}
{'gen': 114, 'nevals': 154, 'min': 6968.0976076555025, 'avg': 7089.548892822966}
{'gen': 115, 'nevals': 160, 'min': 6914.764401913875, 'avg': 7058.676437639553}
{'gen': 116, 'nevals': 160, 'min': 6890.1432216905905, 'avg': 7030.804507655503}
{'gen': 117, 'nevals': 170, 'min': 6890.1432216905905, 'avg': 7003.983184848485}
{'gen': 118, 'nevals': 166, 'min': 6811.739553429027, 'avg': 6975.299243700159}
{'gen': 119, 'nevals': 160, 'min': 6811.739553429027, 'avg': 6947.7905011164285}
{'gen': 120, 'nevals': 154, 'min': 6778.417416267943, 'avg': 6913.939831738437}
{'gen': 121, 'nevals': 166, 'min': 6778.417416267943, 'avg': 6888.323011642743}
{'gen': 122, 'nevals': 159, 'min': 6778.417416267943, 'avg': 6869.759271610845}
{'gen': 123, 'nevals': 160, 'min': 6731.502870813397, 'avg': 6845.146914354067}
{'gen': 124, 'nevals': 146, 'min': 6731.502870813397, 'avg': 6823.822947846889}
{'gen': 125, 'nevals': 158, 'min': 6673.005422647528, 'avg': 6803.620487400319}
{'gen': 126, 'nevals': 160, 'min': 6664.881244019139, 'avg': 6783.311894736842}
